title,provider,subject,school,language,course_hours,session,course_length(weeks along),review count interval(강의시작일 + 강의수업길이 + 1분기<3개월>),review_count (from session start to the interval),total_review_count,total_review_average,pace,certification_available,url,description
New Venture Finance: Startup Funding for Entrepreneurs,Coursera,Entrepreneurship,"University of Maryland, College Park",English,3-5 hours a week,2016-06-27,4,2016-10-25,,9,1.666666667,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2709/coursera-new-venture-finance-startup-funding-for-entrepreneurs,"Chemical reactions underpin the production of pretty much everything in our modern world. But, what is the driving force behind reactions? Why do some reactions occur over geological time scales whilst others are so fast that we need femtosecond-pulsed lasers to study them? Ultimately, what is going on at the atomic level? Discover the answers to such fundamental questions and more on this course in introductory physical chemistry.

The course covers the key concepts of three of the principal topics in first-year undergraduate physical chemistry: thermodynamics, kinetics and quantum mechanics. These three topics cover whether or not reactions occur, how fast they go and what is actually going on at the sub-atomic scale.
Syllabus
Thermodynamics I
This module explores thermodynamic definitions, the zeroth law of thermodynamics and temperature, the first law of thermodynamics and enthalpy, reversible expansion, and heat capacity.

Thermodynamics II
This module explores the second law of thermodynamics and entropy, the second law of thermodynamics and spontaneity, the second law of thermodynamics and equilibrium, the third law of thermodynamics and absolute entropy, and Hess' Law.

Virtual Lab 1: Thermodynamics
This lab allows you to further explore thermodynamics.

Chemical Kinetics I
This module explores the rate of reaction, stoichiometry and order, zero order reactions, first order reactions, second order reactions, determination of reaction order, and effect of temperature on reaction rate.

Chemical Kinetics II
This module explores complex reactions, steady-state approximation, and catalysis.

Virtual Lab 2: Kinetics
This lab allows you to further explore kinetics.

Quantum Chemistry I
This module explores Planck's quantum of energy, particle nature of light, wave nature of matter, Heissenberg's uncertainty principle, the Schr?dinger equation, free particle & the particle in a box, Born's interpretation of the wavefunction, and normalisation of the wavefunction.

Virtual Lab 3: Particle in a Box
This experiment involves the visible absorption spectra of dyes.

Quantum Chemistry II
This module explores hydrogen atoms, hydrogen atom quantum numbers, radial and angular solutions for hydrogenic atoms, and energy levels for hydrogenic atoms.

Virtual Lab 4: Hydrogen Emission Spectroscopy
This lab allows you to further explore quantum chemistry."
Responsive Web Design,Coursera,Web Development,University of London International Programmes,English,null,2016-06-27,4,2016-10-25,,9,3,In progress,Paid Certificate Available,https://www.class-central.com/mooc/4200/coursera-responsive-web-design,"In this four-part series, we will explore AP Physics 1 concepts and prepare for the AP Physics 1 Exam in an exciting and entirely new way. Increase your skills ? and your readiness ? for the AP Exam though quality videos, inquiry labs, Hollywood-style Concept Trailers™, Direct Measurement Videos, AP problem-solving sessions and more!

In Part 2: Rotational Motion you will learn how to describe rotational motion with kinematics and how torque alters an object’s state of motion. You will learn about rotational energy and angular momentum, and how their conservation laws affect motion. Gravitational forces between two bodies and the resulting motion will be described, as well as simple harmonic motion. The course will cover these physical concepts through lectures, demonstrations, labs, and problem solving strategies

The enhanced AP Exam Prep PLUS 5 is bundled with the edX Verified Certificate. To get PLUS 5, register for the Verified Certificate. The course instructors will email you with directions for how to receive both the extra exam prep and certificate.

You can view or download the complete College Physics for AP®Courses textbook by going to the Reading Assignments page in this course

 

*Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings.

Additional Courses in the Preparing for the AP Physics 1 Exam Sequence

Preparing for the AP* Physics 1 Exam - Part 1: Linear Motion
Preparing for the AP* Physics 1 Exam - Part 3: Electricity & Waves
Preparing for the AP* Physics 1 Exam - Part 4: Exam Prep
*Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings."
Introduction to Big Data Analytics,Coursera,Data Science and Big Data,"University of California, San Diego",English,null,2016-06-13,5,2016-10-18,,9,4.555555556,In progress,Paid Certificate Available,https://www.class-central.com/mooc/4216/coursera-introduction-to-big-data-analytics,"In this four-part series, we will explore AP Physics 1 concepts and prepare for the AP Physics 1 Exam in an exciting and entirely new way. Increase your skills ? and your readiness ? for the AP Exam though quality videos, inquiry labs, Hollywood-style Concept Trailers™, Direct Measurement Videos, AP problem-solving sessions and more!

In Part 2: Rotational Motion you will learn how to describe rotational motion with kinematics and how torque alters an object’s state of motion. You will learn about rotational energy and angular momentum, and how their conservation laws affect motion. Gravitational forces between two bodies and the resulting motion will be described, as well as simple harmonic motion. The course will cover these physical concepts through lectures, demonstrations, labs, and problem solving strategies

The enhanced AP Exam Prep PLUS 5 is bundled with the edX Verified Certificate. To get PLUS 5, register for the Verified Certificate. The course instructors will email you with directions for how to receive both the extra exam prep and certificate.

You can view or download the complete College Physics for AP®Courses textbook by going to the Reading Assignments page in this course

 

*Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings.

Additional Courses in the Preparing for the AP Physics 1 Exam Sequence

Preparing for the AP* Physics 1 Exam - Part 1: Linear Motion
Preparing for the AP* Physics 1 Exam - Part 3: Electricity & Waves
Preparing for the AP* Physics 1 Exam - Part 4: Exam Prep
*Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings."
The Music of the Beatles,Coursera,Music,University of Rochester,English,2-4 hours a week,2016-07-18,7,2016-12-05,,9,3.111111111,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/1135/coursera-the-music-of-the-beatles,"Financial Engineering is a multidisciplinary field involving finance and economics, mathematics, statistics, engineering and computational methods. The emphasis of FE & RM Part II will be on the use of simple stochastic models to (i) solve portfolio optimization problems (ii) price derivative securities in various asset classes including equities and credit and (iii) consider some advanced applications of financial engineering including algorithmic trading and the pricing of real options. We will also consider the role that financial engineering played during the financial crisis.

We hope that students who complete the course and the prerequisite course (FE & RM Part I) will have a good understanding of the ""rocket science"" behind financial engineering. But perhaps more importantly, we hope they will also understand the limitations of this theory in practice and why financial models should always be treated with a healthy degree of skepticism.
Syllabus
Mean-Variance Analysis and CAPM
Problem formulation and solution; the efficient frontier; including the risk-free asset; the Capital Asset Pricing Model (CAPM);implications of CAPM: α, β, security and capital market lines

Practical Issues in Implementing Mean Variance
Problems with mean-variance analysis; ETFs and leveraged ETFs; VaR and CVaR for asset allocation; survivorship bias, performance evaluation and other statistical pitfalls.

Equity Derivatives in Practice: Part I
Problems with mean-variance analysis; ETFs and leveraged ETFs; VaR and CVaR for asset allocation; survivorship bias, performance evaluation and other statistical pitfalls.

Equity Derivatives in Practice: Part II
More about Black-Scholes, the Greeks and delta-hedging; the volatility surface; pricing derivatives using the volatility surface; model calibration.

Credit Derivatives and Structured Products
Mechanics and pricing of CDOs; exotic structured credit securities including CDO-squared’s and CDO-cubed’s. Risk management of these products and their role in the financial crisis.

Other Applications of Financial Engineering
Real options; energy and commodities modeling; algorithmic trading.

Background Material"
Introduction to Classical Music,Coursera,Music,Yale University,English,3-5 hours a week,2016-07-18,9,2016-12-19,,9,3.111111111,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/2987/coursera-introduction-to-classical-music,"In this interdisciplinary course you will learn about the water-related dimensions of environmentally sustainable urbanism. The course features Vancouver, one of the world's leading cities for green design.

Each week, you’ll watch lectures plus a compelling documentary-style video featuring architects, planners, artists, engineers, and academics that have created real-world innovations which link water and sustainability in the built environment. You’ll meet the inspiring founder of the Center for Interactive Research on Sustainability (one of the greenest buildings in North America); visit North America’s largest urban wastewater-to-energy plant; learn from architects designing urban waterscapes as ‘landscape infrastructure’ along Vancouver’s revitalized waterfront; travel along one of North America’s largest revitalized urban streams, which has become a hub for community engagement; and explore the creation of a ‘watershed mind’ with an award-winning poet and artist."
The Language and Tools of Financial Analysis,Coursera,Finance,University of Melbourne,English,4-6 hours a week,2016-07-18,4,2016-11-15,,9,3.111111111,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/3330/coursera-the-language-and-tools-of-financial-analysis,"This course is aimed at English as a Foreign Language (EFL) teachers, both those who are intending to pursue this field as a career and those already working in the field who would like to revise and refresh their methods and approaches. The materials and approaches presented should complement college courses such as Introduction to TEFL/TESOL Methods.
This five-week course explores important aspects of teaching English as a second or foreign language. The goal of this course is to help you become a better teacher. By the end of this course, you should be able to explain how the various materials and approaches presented will lead to better language learning; you will be able to choose appropriate materials and apply varied classroom activities to improve your students’ study of English. You will also be able to better evaluate both your own and other teachers’ practices.
This is the second of the two-part Shaping the Way We Teach English series. The first part is the Landscape of English Language Teaching. You can begin with either course.

Syllabus
Topics for Paths to Success in English Language Teaching include:
Week 1: Integrating skills and using tasks to motivate learners; project overview, introductions
Week 2: Alternative assessment that shows what learners can do with language; lesson plan phase 1 is due
Week 3: Incorporating individual learning differences in instruction; peer and self-evaluations are due
Week 4: Ideas for effective classroom management; final lesson plan is due
Week 5: Improving practice with reflective teaching; final peer and self-evaluations are due"
Fundamentals of Management,Coursera,Management & Leadership,"University of California, Irvine",English,2-3 hours a week,2015-04-06,4,2015-08-04,,9,1,Self Paced,Paid Certificate Available,https://www.class-central.com/mooc/2720/coursera-fundamentals-of-management,"Chemical reactions underpin the production of pretty much everything in our modern world. But, what is the driving force behind reactions? Why do some reactions occur over geological time scales whilst others are so fast that we need femtosecond-pulsed lasers to study them? Ultimately, what is going on at the atomic level? Discover the answers to such fundamental questions and more on this course in introductory physical chemistry.

The course covers the key concepts of three of the principal topics in first-year undergraduate physical chemistry: thermodynamics, kinetics and quantum mechanics. These three topics cover whether or not reactions occur, how fast they go and what is actually going on at the sub-atomic scale.
Syllabus
Thermodynamics I
This module explores thermodynamic definitions, the zeroth law of thermodynamics and temperature, the first law of thermodynamics and enthalpy, reversible expansion, and heat capacity.

Thermodynamics II
This module explores the second law of thermodynamics and entropy, the second law of thermodynamics and spontaneity, the second law of thermodynamics and equilibrium, the third law of thermodynamics and absolute entropy, and Hess' Law.

Virtual Lab 1: Thermodynamics
This lab allows you to further explore thermodynamics.

Chemical Kinetics I
This module explores the rate of reaction, stoichiometry and order, zero order reactions, first order reactions, second order reactions, determination of reaction order, and effect of temperature on reaction rate.

Chemical Kinetics II
This module explores complex reactions, steady-state approximation, and catalysis.

Virtual Lab 2: Kinetics
This lab allows you to further explore kinetics.

Quantum Chemistry I
This module explores Planck's quantum of energy, particle nature of light, wave nature of matter, Heissenberg's uncertainty principle, the Schr?dinger equation, free particle & the particle in a box, Born's interpretation of the wavefunction, and normalisation of the wavefunction.

Virtual Lab 3: Particle in a Box
This experiment involves the visible absorption spectra of dyes.

Quantum Chemistry II
This module explores hydrogen atoms, hydrogen atom quantum numbers, radial and angular solutions for hydrogenic atoms, and energy levels for hydrogenic atoms.

Virtual Lab 4: Hydrogen Emission Spectroscopy
This lab allows you to further explore quantum chemistry."
Information Security and Risk Management in Context,Coursera,Information Technology,University of Washington,English,4-6 hours a week,2014-08-26,10,2015-02-04,,9,1,Finished,null,https://www.class-central.com/mooc/417/coursera-information-security-and-risk-management-in-context,"In this four-part series, we will explore AP Physics 1 concepts and prepare for the AP Physics 1 Exam in an exciting and entirely new way. Increase your skills ? and your readiness ? for the AP Exam though quality videos, inquiry labs, Hollywood-style Concept Trailers™, Direct Measurement Videos, AP problem-solving sessions and more!

In Part 2: Rotational Motion you will learn how to describe rotational motion with kinematics and how torque alters an object’s state of motion. You will learn about rotational energy and angular momentum, and how their conservation laws affect motion. Gravitational forces between two bodies and the resulting motion will be described, as well as simple harmonic motion. The course will cover these physical concepts through lectures, demonstrations, labs, and problem solving strategies

The enhanced AP Exam Prep PLUS 5 is bundled with the edX Verified Certificate. To get PLUS 5, register for the Verified Certificate. The course instructors will email you with directions for how to receive both the extra exam prep and certificate.

You can view or download the complete College Physics for AP®Courses textbook by going to the Reading Assignments page in this course

 

*Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings.

Additional Courses in the Preparing for the AP Physics 1 Exam Sequence

Preparing for the AP* Physics 1 Exam - Part 1: Linear Motion
Preparing for the AP* Physics 1 Exam - Part 3: Electricity & Waves
Preparing for the AP* Physics 1 Exam - Part 4: Exam Prep
*Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings."
Introduction to Software Product Management,Coursera,Computer Science,University of Alberta,English,null,2015-10-05,2,2016-01-19,,9,4.777777778,Finished,Paid Certificate Available,https://www.class-central.com/mooc/4196/coursera-introduction-to-software-product-management,"In this four-part series, we will explore AP Physics 1 concepts and prepare for the AP Physics 1 Exam in an exciting and entirely new way. Increase your skills ? and your readiness ? for the AP Exam though quality videos, inquiry labs, Hollywood-style Concept Trailers™, Direct Measurement Videos, AP problem-solving sessions and more!

In Part 2: Rotational Motion you will learn how to describe rotational motion with kinematics and how torque alters an object’s state of motion. You will learn about rotational energy and angular momentum, and how their conservation laws affect motion. Gravitational forces between two bodies and the resulting motion will be described, as well as simple harmonic motion. The course will cover these physical concepts through lectures, demonstrations, labs, and problem solving strategies

The enhanced AP Exam Prep PLUS 5 is bundled with the edX Verified Certificate. To get PLUS 5, register for the Verified Certificate. The course instructors will email you with directions for how to receive both the extra exam prep and certificate.

You can view or download the complete College Physics for AP®Courses textbook by going to the Reading Assignments page in this course

 

*Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings.

Additional Courses in the Preparing for the AP Physics 1 Exam Sequence

Preparing for the AP* Physics 1 Exam - Part 1: Linear Motion
Preparing for the AP* Physics 1 Exam - Part 3: Electricity & Waves
Preparing for the AP* Physics 1 Exam - Part 4: Exam Prep
*Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings."
Software Processes and Agile Practices,Coursera,Programming,University of Alberta,English,null,2015-10-26,4,2016-02-23,,9,4.777777778,Finished,Paid Certificate Available,https://www.class-central.com/mooc/4187/coursera-software-processes-and-agile-practices,"In this four-part series, we will explore AP Physics 1 concepts and prepare for the AP Physics 1 Exam in an exciting and entirely new way. Increase your skills ? and your readiness ? for the AP Exam though quality videos, inquiry labs, Hollywood-style Concept Trailers™, Direct Measurement Videos, AP problem-solving sessions and more!

In Part 2: Rotational Motion you will learn how to describe rotational motion with kinematics and how torque alters an object’s state of motion. You will learn about rotational energy and angular momentum, and how their conservation laws affect motion. Gravitational forces between two bodies and the resulting motion will be described, as well as simple harmonic motion. The course will cover these physical concepts through lectures, demonstrations, labs, and problem solving strategies

The enhanced AP Exam Prep PLUS 5 is bundled with the edX Verified Certificate. To get PLUS 5, register for the Verified Certificate. The course instructors will email you with directions for how to receive both the extra exam prep and certificate.

You can view or download the complete College Physics for AP®Courses textbook by going to the Reading Assignments page in this course

 

*Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings.

Additional Courses in the Preparing for the AP Physics 1 Exam Sequence

Preparing for the AP* Physics 1 Exam - Part 1: Linear Motion
Preparing for the AP* Physics 1 Exam - Part 3: Electricity & Waves
Preparing for the AP* Physics 1 Exam - Part 4: Exam Prep
*Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings."
Financing for Development,Coursera,Finance,The World Bank,English,4-8 hours a week,2015-11-16,4,2016-03-14,,9,4.777777778,Finished,null,https://www.class-central.com/mooc/4076/coursera-financing-for-development,"In this four-part series, we will explore AP Physics 1 concepts and prepare for the AP Physics 1 Exam in an exciting and entirely new way. Increase your skills ? and your readiness ? for the AP Exam though quality videos, inquiry labs, Hollywood-style Concept Trailers™, Direct Measurement Videos, AP problem-solving sessions and more!

In Part 2: Rotational Motion you will learn how to describe rotational motion with kinematics and how torque alters an object’s state of motion. You will learn about rotational energy and angular momentum, and how their conservation laws affect motion. Gravitational forces between two bodies and the resulting motion will be described, as well as simple harmonic motion. The course will cover these physical concepts through lectures, demonstrations, labs, and problem solving strategies

The enhanced AP Exam Prep PLUS 5 is bundled with the edX Verified Certificate. To get PLUS 5, register for the Verified Certificate. The course instructors will email you with directions for how to receive both the extra exam prep and certificate.

You can view or download the complete College Physics for AP®Courses textbook by going to the Reading Assignments page in this course

 

*Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings.

Additional Courses in the Preparing for the AP Physics 1 Exam Sequence

Preparing for the AP* Physics 1 Exam - Part 1: Linear Motion
Preparing for the AP* Physics 1 Exam - Part 3: Electricity & Waves
Preparing for the AP* Physics 1 Exam - Part 4: Exam Prep
*Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings."
New Models of Business in Society,Coursera,Business & Management,University of Virginia,English,2-3 hours a week,2016-07-04,4,2016-11-01,,9,4.777777778,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/648/coursera-new-models-of-business-in-society,"Are you fascinated by Geosciences and willing to take the challenge of predicting the nature and behavior of the Earth subsurface? This is your course!

In a voyage through the Earth, Geoscience: the Earth and its Resources will explore the Earth interior and the processes forming mountains and sedimentary basins. You will understand how the sediments are formed, transported, deposited and deformed.

You will develop knowledge on the behavior of petroleum and water resources.

The course has an innovative approach focusing on key fundamental processes, exploring their nature and quantitative interactions. It will be shown how this acquired knowledge is used to predict the nature and behavior of the Earth subsurface.

This is your ideal first step as a future Geoscientists or professional to upgrade your knowledge in the domain of Earth Sciences."
Successful Negotiation: Essential Strategies and Skills,Coursera,Communication Skills,University of Michigan,English,2-3 hours a week,2016-07-04,7,2016-11-22,,9,4.111111111,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/2460/coursera-successful-negotiation-essential-strategies-and-skills,"Chemical reactions underpin the production of pretty much everything in our modern world. But, what is the driving force behind reactions? Why do some reactions occur over geological time scales whilst others are so fast that we need femtosecond-pulsed lasers to study them? Ultimately, what is going on at the atomic level? Discover the answers to such fundamental questions and more on this course in introductory physical chemistry.

The course covers the key concepts of three of the principal topics in first-year undergraduate physical chemistry: thermodynamics, kinetics and quantum mechanics. These three topics cover whether or not reactions occur, how fast they go and what is actually going on at the sub-atomic scale.
Syllabus
Thermodynamics I
This module explores thermodynamic definitions, the zeroth law of thermodynamics and temperature, the first law of thermodynamics and enthalpy, reversible expansion, and heat capacity.

Thermodynamics II
This module explores the second law of thermodynamics and entropy, the second law of thermodynamics and spontaneity, the second law of thermodynamics and equilibrium, the third law of thermodynamics and absolute entropy, and Hess' Law.

Virtual Lab 1: Thermodynamics
This lab allows you to further explore thermodynamics.

Chemical Kinetics I
This module explores the rate of reaction, stoichiometry and order, zero order reactions, first order reactions, second order reactions, determination of reaction order, and effect of temperature on reaction rate.

Chemical Kinetics II
This module explores complex reactions, steady-state approximation, and catalysis.

Virtual Lab 2: Kinetics
This lab allows you to further explore kinetics.

Quantum Chemistry I
This module explores Planck's quantum of energy, particle nature of light, wave nature of matter, Heissenberg's uncertainty principle, the Schr?dinger equation, free particle & the particle in a box, Born's interpretation of the wavefunction, and normalisation of the wavefunction.

Virtual Lab 3: Particle in a Box
This experiment involves the visible absorption spectra of dyes.

Quantum Chemistry II
This module explores hydrogen atoms, hydrogen atom quantum numbers, radial and angular solutions for hydrogenic atoms, and energy levels for hydrogenic atoms.

Virtual Lab 4: Hydrogen Emission Spectroscopy
This lab allows you to further explore quantum chemistry."
The Brain and Space,Coursera,Chemistry,Duke University,English,4-5 hours a week,2016-07-04,6,2016-11-15,,9,4.111111111,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/1362/coursera-the-brain-and-space,"Financial Engineering is a multidisciplinary field involving finance and economics, mathematics, statistics, engineering and computational methods. The emphasis of FE & RM Part II will be on the use of simple stochastic models to (i) solve portfolio optimization problems (ii) price derivative securities in various asset classes including equities and credit and (iii) consider some advanced applications of financial engineering including algorithmic trading and the pricing of real options. We will also consider the role that financial engineering played during the financial crisis.

We hope that students who complete the course and the prerequisite course (FE & RM Part I) will have a good understanding of the ""rocket science"" behind financial engineering. But perhaps more importantly, we hope they will also understand the limitations of this theory in practice and why financial models should always be treated with a healthy degree of skepticism.
Syllabus
Mean-Variance Analysis and CAPM
Problem formulation and solution; the efficient frontier; including the risk-free asset; the Capital Asset Pricing Model (CAPM);implications of CAPM: α, β, security and capital market lines

Practical Issues in Implementing Mean Variance
Problems with mean-variance analysis; ETFs and leveraged ETFs; VaR and CVaR for asset allocation; survivorship bias, performance evaluation and other statistical pitfalls.

Equity Derivatives in Practice: Part I
Problems with mean-variance analysis; ETFs and leveraged ETFs; VaR and CVaR for asset allocation; survivorship bias, performance evaluation and other statistical pitfalls.

Equity Derivatives in Practice: Part II
More about Black-Scholes, the Greeks and delta-hedging; the volatility surface; pricing derivatives using the volatility surface; model calibration.

Credit Derivatives and Structured Products
Mechanics and pricing of CDOs; exotic structured credit securities including CDO-squared’s and CDO-cubed’s. Risk management of these products and their role in the financial crisis.

Other Applications of Financial Engineering
Real options; energy and commodities modeling; algorithmic trading.

Background Material"
The Age of Sustainable Development,Coursera,Environmental Science,Columbia University,English,5-7 hours a week,2016-07-04,14,2017-01-10,,9,4.111111111,Upcoming,null,https://www.class-central.com/mooc/1533/coursera-the-age-of-sustainable-development,"Large-scale biology projects such as the sequencing of the human genome and gene expression surveys using RNA-seq, microarrays and other technologies have created a wealth of data for biologists. However, the challenge facing scientists is analyzing and even accessing these data to extract useful information pertaining to the system being studied. This course focuses on employing existing bioinformatic resources ? mainly web-based programs and databases ? to access the wealth of data to answer questions relevant to the average biologist, and is highly hands-on.

Topics covered include multiple sequence alignments, phylogenetics, gene expression data analysis, and protein interaction networks, in two separate parts.

The first part, Bioinformatic Methods I (this one), deals with databases, Blast, multiple sequence alignments, phylogenetics, selection analysis and metagenomics.

This, the second part, Bioinformatic Methods II, covers motif searching, protein-protein interactions, structural bioinformatics, gene expression data analysis, and cis-element predictions.

This pair of courses is useful to any student considering graduate school in the biological sciences, as well as students considering molecular medicine. Both provide an overview of the many different bioinformatic tools that are out there.

These courses are based on one taught at the University of Toronto to upper-level undergraduates who have some understanding of basic molecular biology. If you're not familiar with this, something like https://learn.saylor.org/course/bio101 might be helpful. No programming is required for this course.
Syllabus
NCBI/Blast I
In this module we'll be exploring the amazing resources available at NCBI, the National Centre for Biotechnology Information, run by the National Library of Medicine in the USA. We'll also be doing a Blast search to find similar sequences in the enormous NR sequence database. We can use similar sequences to infer homology, which is the primary predictor of gene or protein function.

Blast II/Comparative Genomics
In this module we'll continue exploring the incredible resources available at NCBI, the National Centre for Biotechnology Information. We will be performing several different kinds of Blast searches: BlastP, PSI-Blast, and Translated Blast. We can use similar sequences identified by such methods to infer homology, which is the primary predictor of gene or protein function. We'll also be comparing parts of the genomes of a couple of different species, to see how similar they are.

Multiple Sequence Alignments
In this module we'll be doing multiple sequence alignments with Clustal (as implemented in MEGA), DiAlign, and MAFFT. Multiple sequences alignments can tell you where in a sequence the conserved and variable regions are, which is important for understanding the biology of the sequences under investigation. It also has practical applications, such as being able to design PCR primers that will amplify sequences from a number of different species, for example.

Review: NCBI/Blast I, Blast II/Comparative Genetics, and Multiple Sequence Alignments


Phylogenetics
In this module we'll be using the multiple sequence alignments we generated last lab to do some phylogenetic analyses with both neighbour-joining and maximum likelihood methods. The tree-like structure generated by such analyses tells us how closely sequences are related one to another, and suggests when in evolutionary time a speciation or gene duplication event occurred.

Selection Analysis
In this module we'll take a set of orthologous sequences from bacteria and use DataMonkey to analyze them for the presence of certain sites under positive, negative or neutral selection. Such an analysis can help understand the biology of a set of protein coding sequences by identifying residues that might be important for biological function (those residues under negative selection) or those that might be involved in response to external influences, such as drugs, pathogens or other factors (residues under positive selection).

'Next Gen' Sequence Analysis (RNA-Seq) / Metagenomics
In this module we'll explore some of the data that have been generated as a result of the rapid decrease in the cost of sequencing DNA. We'll be exploring a couple of RNA-Seq data sets that can tell us where any given gene is expressed, and also how that gene might be alternatively spliced. We'll also be looking at a couple of metagenome data sets that can tell us about the kinds of species (especially microbial species that might otherwise be hard to culture) that are in a given environmental niche.

Review: Phylogenetics, Selection Analysis, and 'Next Gen' Sequence Analysis (RNA-seq)/Metagenomics + Final Assignment"
Gut Check: Exploring Your Microbiome,Coursera,Biology,University of Colorado Boulder,English,3-5 hours a week,2016-07-11,6,2016-11-22,,9,2.333333333,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/2305/coursera-gut-check-exploring-your-microbiome,"A chemistry course to cover selected topics covered in advanced high school chemistry courses, correlating to the standard topics as established by the American Chemical Society.

Prerequisites: Students should have a background in basic chemistry including nomenclature, reactions, stoichiometry, molarity and thermochemistry.
Syllabus
Kinetics
The study of chemical kinetics is the study of change over time. It answers questions like: How fast are reactants consumed? How fast are products formed? This unit is dedicated to the exploration of how these questions are answered. We will look at the experimental evidence of how concentration affects these rates. We will also examine what occurs on the molecular level, especially with respect to the motion of molecules, that affects rates of reactions.

Chemical Equilibrium
This unit introduces the concept of chemical equilibrium and how it applies to many chemical reactions. The quantitative aspects of equilibrium are explored thoroughly through discussions of the law of mass action as well as the relationship between equilibrium constants with respect to concentrations and pressures of substances. Much of the discussion explores how to solve problems to find either the value of the equilibrium constant or the concentrations of substances at equilibrium. ICE (initial-change-equilibrium) tables are introduced as a problem-solving tool and multiple examples of their use are included. From a qualitative standpoint, Le Ch?telier’s principle is used to explain how various factors affect the equilibrium constant of a reaction along with the concentrations of all species.

Acid-Base Equilibria
The concept of equilibrium is applied to acid and base solutions. To begin, the idea of weak acids and bases is explored along with the equilibrium constants associated with their ionization in water and how the value of the equilibrium constant is associated with the strength of the acid or base. The autoionization of water is discussed and how temperature affects this process. A variety of problem types are covered including calculations of pH, pOH, [OH-], and [H+] for both strong and weak acids and bases. Aqueous salt solutions are classified as acids and bases and the multi-step ionization of polyprotic acids is discussed. Finally, the concept of Lewis acids and bases is discussed and demonstrated through examples.

Aqueous Equilibria
This unit continues and expands on the theme of equlibria. You will examine buffers, acid/base titrations and the equilibria of insoluble salts.

Thermodynamics
The overarching theme of thermodynamics is the prediction of whether a reaction will occur spontaneously under a certain set of conditions. Entropy and Free Energy are defined and utilized for this purpose."
"American Education Reform: History, Policy, Practice",Coursera,Education & Teaching,University of Pennsylvania,English,6-8 hours a week,2016-07-11,8,2016-12-05,,9,4.333333333,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/2793/coursera-american-education-reform-history-policy-practice,"Impact your financial decisions and learn how to affect the performance of your unit's profitability and of your organization. In this course gain a basic understanding of finance and accounting concepts to drive your organization's growth. Upon completion of this course, you will have gained general financial knowledge and an in-depth understanding of the impact of your decisions outside your functional area. Content of the course includes selected aspects of finance from a non-financial specialist perspective. Specific topics include: financial analysis; planning, forecasting, and budgeting; cash flow, and strategic financing. This class will be interactive and will require the active involvement of the participants in finance related activities.
Syllabus
Foundations of Finance and Accounting


Costing


Financial Ratios


Valuation"
